memoryName,gen,latency,readUncached,write,price,perf_score,value_score,gen_numeric
G Skill Intl F4-4500C19-8GTZKKE 8GB,DDR4,15,23000.0,21000.0,168.495,2750.0,16.224667394318416,4
G Skill Intl F4-4400C16-8GVK 8GB,DDR4,21,20900.0,21000.0,168.495,1904.5454545454545,11.23658783176763,4
G Skill Intl F4-3600C14-16GTZR 16GB,DDR4,25,25600.0,20700.0,168.495,1780.7692307692307,10.506323081915282,4
G Skill Intl F4-4000C15-8GVK 8GB,DDR4,23,20700.0,20200.0,168.495,1704.1666666666667,10.054377218600353,4
G Skill Intl F4-4266C17-16GTZRB 16GB,DDR4,23,22400.0,20100.0,168.495,1770.8333333333333,10.447702488765646,4
G Skill Intl F4-4400C17-16GVK 16GB,DDR4,31,22300.0,20000.0,168.495,1321.875,7.798902622496239,4
G Skill Intl F4-4400C16-8GTRS 8GB,DDR4,21,20600.0,20000.0,168.495,1845.4545454545455,10.88795861503021,4
G Skill Intl F4-4400C17-8GVK 8GB,DDR4,24,20600.0,20000.0,168.495,1624.0,9.581403581226585,4
G Skill Intl F4-4000C14-8GTZR 8GB,DDR4,27,24700.0,19900.0,168.495,1592.857142857143,9.397664490735083,4
Galaxy Microsystems Ltd. GALAX GOC 2016 8GB,DDR4,14,26400.0,19800.0,168.495,3080.0,18.171627481636627,4
G Skill Intl F4-4266C17-16GVKB 16GB,DDR4,24,21100.0,19800.0,168.495,1636.0,9.652202129856338,4
G Skill Intl F4-3600C14-8GVKA 8GB,DDR4,23,24400.0,19700.0,168.495,1837.5,10.841027758930942,4
G Skill Intl F4-3600C14-16GVKA 16GB,DDR4,27,23700.0,19700.0,168.495,1550.0,9.144812531343106,4
G Skill Intl F4-3600C14-16GTRG 16GB,DDR4,23,20100.0,19700.0,168.495,1658.3333333333333,9.783966095361711,4
Crucial Technology BLM8G44C19U4BL.M8FE1 8GB,DDR4,27,22000.0,19600.0,168.495,1485.7142857142858,8.765534592255145,4
Corsair CMR16GX4M2K4266C19 8GB,DDR4,17,21400.0,19600.0,168.495,2277.777777777778,13.438613397314244,4
G Skill Intl F4-4600C18-8GTRS 8GB,DDR4,21,21400.0,19600.0,168.495,1863.6363636363637,10.99522914325711,4
G Skill Intl F4-4400C18-8GTRS 8GB,DDR4,17,21100.0,19600.0,168.495,2261.1111111111113,13.340282079772921,4
Thermaltake Technology Co Ltd CL-W262-CA00SW-A 8GB,DDR4,22,21000.0,19600.0,168.495,1765.2173913043478,10.414569110028896,4
G Skill Intl F4-4266C16-8GTZR 8GB,DDR4,25,25200.0,19500.0,168.495,1719.2307692307693,10.143253601762702,4
Corsair CMK16GX4M2K4333C19 8GB,DDR4,18,20100.0,19500.0,168.495,2084.2105263157896,12.296590025167642,4
Corsair CMK16GX4M2G4000C16 8GB,DDR4,23,19900.0,19500.0,168.495,1641.6666666666667,9.685634777820388,4
G Skill Intl F4-3733C17-8GTZKK 8GB,DDR4,25,23100.0,19400.0,168.495,1634.6153846153845,9.644033066552904,4
G Skill Intl F4-4000C15-8GTRG 8GB,DDR4,24,21600.0,19400.0,168.495,1640.0,9.675801646066255,4
G Skill Intl F4-4000C17-8GTZRB 8GB,DDR4,25,21000.0,19400.0,168.495,1553.8461538461538,9.167504373852644,4
G Skill Intl F4-4400C18-8GTZR 8GB,DDR4,21,20100.0,19400.0,168.495,1795.4545454545455,10.592964662406239,4
G Skill Intl F4-4500C19-8GTZSWE 8GB,DDR4,14,25100.0,19300.0,168.495,2960.0,17.463641995339096,4
G Skill Intl F4-4266C19-8GTRG 8GB,DDR4,20,20100.0,19300.0,168.495,1876.1904761904761,11.069296888937586,4
G Skill Intl F4-3600C14-16GVK 16GB,DDR4,24,21700.0,19200.0,168.495,1636.0,9.652202129856338,4
G Skill Intl F4-4000C17-8GVKB 8GB,DDR4,20,20700.0,19200.0,168.495,1900.0,11.209770199710906,4
G Skill Intl F4-4000C15-8GTZR 8GB,DDR4,25,20000.0,19200.0,168.495,1507.6923076923076,8.895202263738208,4
G Skill Intl F4-4800C19-8GTESC 8GB,DDR4,25,17900.0,19200.0,168.495,1426.923076923077,8.418673571037948,4
Corsair CMT32GX4M2Z3600C14 16GB,DDR4,36,26000.0,19100.0,168.495,1218.918918918919,7.191474196400596,4
G Skill Intl F4-4000C16-8GTZRA 8GB,DDR4,21,22400.0,19100.0,168.495,1886.3636363636363,11.12931730354073,4
G Skill Intl F4-4400C16-8GTZR 8GB,DDR4,27,21900.0,19100.0,168.495,1464.2857142857142,8.639108612559156,4
Corsair CMK32GX4M4K4266C19 8GB,DDR4,21,21200.0,19100.0,168.495,1831.8181818181818,10.807505718860035,4
Gold Key Technology Co Ltd NMUD416E82-4600C 16GB,DDR4,26,23100.0,19000.0,168.495,1559.2592592592594,9.199441041088287,4
G Skill Intl F4-4400C17-16GTZR 16GB,DDR4,27,22800.0,18900.0,168.495,1489.2857142857142,8.786605588871142,4
G Skill Intl F4-3800C14-8GTZN 8GB,DDR4,24,20100.0,18900.0,168.495,1560.0,9.203811321867901,4
G Skill Intl F4-4000C19-16GTRG 16GB,DDR4,24,19400.0,18900.0,168.495,1532.0,9.038614708398478,4
G Skill Intl F4-4400C19-32GVK 32GB,DDR4,33,21100.0,18800.0,168.495,1173.5294117647059,6.923681593939088,4
G Skill Intl F4-4000C18-32GTZN 32GB,DDR4,29,20600.0,18800.0,168.495,1313.3333333333333,7.74850782225631,4
G Skill Intl F4-3200C14-16GTRG 16GB,DDR4,22,20400.0,18800.0,168.495,1704.3478260869565,10.055446037269279,4
Thermaltake Technology Co Ltd R021D408GX2-3600C18D 8GB,DDR4,23,19600.0,18800.0,168.495,1600.0,9.439806483967079,4
G Skill Intl F4-4000C15-8GTRS 8GB,DDR4,21,19200.0,18800.0,168.495,1727.2727272727273,10.19070018155537,4
Essencore Limited KD4AGU880-36A180C 16GB,DDR4,28,23600.0,18600.0,168.495,1455.1724137931035,8.585341241883851,4
G Skill Intl F4-3600C16-8GTZSW 8GB,DDR4,24,22700.0,18600.0,168.495,1652.0,9.746600194696008,4
Hewlett-Packard 48U45AA# 16GB,DDR4,21,22600.0,18600.0,168.495,1872.7272727272727,11.048864407370559,4
G Skill Intl F4-4400C19-8GTZSW 8GB,DDR4,16,22100.0,18600.0,168.495,2394.1176470588234,14.12500455505368,4
Team Group Inc. TEAMGROUP-D4-3866 4GB,DDR4,17,21600.0,18600.0,168.495,2233.3333333333335,13.176396550537381,4
Corsair CMW32GX4M4K3733C17 8GB,DDR4,19,21000.0,18600.0,168.495,1980.0,11.68176052390926,4
G Skill Intl F4-3200C15-16GTZKY 16GB,DDR4,18,20600.0,18600.0,168.495,2063.157894736842,12.172382045115443,4
G Skill Intl F4-4400C19-32GTZR 32GB,DDR4,29,23600.0,18500.0,168.495,1403.3333333333333,8.279496936979458,4
G Skill Intl F4-4000C17-16GVKB 16GB,DDR4,27,22700.0,18500.0,168.495,1471.4285714285713,8.681250605791153,4
Corsair CMD8GX4M2B4000C19 4GB,DDR4,18,21400.0,18500.0,415.63,2100.0,5.040443559033195,4
Patriot Memory (PDP Systems) 3866 C18 Series 8GB,DDR4,22,20900.0,18500.0,168.495,1713.0434782608695,10.106749333377795,4
Apacer Technology GD2.2229BH.001 16GB,DDR4,36,25500.0,18400.0,168.495,1186.4864864864865,7.000126767671532,4
Thermaltake Technology Co Ltd RA24D408GX2-4400C19A 8GB,DDR4,27,20600.0,18400.0,209.0,1392.857142857143,6.63265306122449,4
G Skill Intl F4-4000C17-8GTZR 8GB,DDR4,24,20200.0,18400.0,168.495,1544.0,9.10941325702823,4
Apacer Technology 78.CAGR9.40C0B 8GB,DDR4,19,19900.0,18400.0,168.495,1915.0,11.298268385498098,4
Crucial Technology BL16G36C16U4BL.M16FE 16GB,DDR4,24,19700.0,18400.0,168.495,1524.0,8.991415675978642,4
Chun Well Technology Holding Limited D4U1636144B 16GB,DDR4,26,23700.0,18300.0,168.495,1555.5555555555557,9.177589637190216,4
Crucial Technology BL16G36C16U4RL.M8FB1 16GB,DDR4,26,20900.0,18300.0,168.495,1451.851851851852,8.565750328044201,4
G Skill Intl F4-3600C16-16GTZR 16GB,DDR4,25,20100.0,18300.0,168.495,1476.923076923077,8.713667523661918,4
Essencore Limited KD4AGU880-36A180X 16GB,DDR4,26,18200.0,18300.0,168.495,1351.851851851852,7.975762422796259,4
Thermaltake Technology Co Ltd R022D408GX2-4600C19A 8GB,DDR4,28,21600.0,18200.0,309.0,1372.4137931034484,4.42714126807564,4
G Skill Intl F4-3600C16-8GTESC 8GB,DDR4,31,20300.0,18200.0,168.495,1203.125,7.098291985014307,4
G Skill Intl F4-4000C19-16GTZKK 16GB,DDR4,23,19800.0,18200.0,168.495,1583.3333333333333,9.341475166425754,4
Kingston KHX4133C19D4/8GX 8GB,DDR4,23,19700.0,18200.0,168.495,1579.1666666666667,9.316892337040425,4
G Skill Intl F4-4000C16-8GVK 8GB,DDR4,24,19500.0,18200.0,168.495,1508.0,8.897017611138972,4
Corsair CMK16GX4M2K4266C19 8GB,DDR4,17,20900.0,18100.0,269.99,2166.6666666666665,7.995374983086706,4
Shanghai Kuxin Microelectronics Ltd NMUD480E82-3600 8GB,DDR4,18,20400.0,18100.0,168.495,2026.3157894736842,11.955018080024097,4
G Skill Intl F4-3200C14-8GTRG 8GB,DDR4,21,20400.0,18100.0,168.495,1750.0,10.324788341838993,4
G Skill Intl F4-3600C16-8GTRS 8GB,DDR4,23,20300.0,18100.0,168.495,1600.0,9.439806483967079,4
G Skill Intl F4-3733C17-16GTZKK 16GB,DDR4,19,20200.0,18100.0,168.495,1915.0,11.298268385498098,4
Thermaltake Technology Co Ltd R017D408GX2-4000C19A 8GB,DDR4,25,20200.0,18100.0,209.0,1473.076923076923,7.014652014652015,4
Crucial Technology BL32G36C16U4BL.M16FB 32GB,DDR4,28,18700.0,18100.0,168.495,1268.9655172413793,7.486743073491131,4
Team Group Inc. TEAMGROUP-UD4-4500 8GB,DDR4,29,18000.0,18100.0,168.495,1203.3333333333333,7.099521126483573,4
G Skill Intl F4-4266C19-8GTZSW 8GB,DDR4,17,22100.0,18000.0,168.495,2227.777777777778,13.143619444690273,4
Corsair CMW16GX4M2K4000C19 8GB,DDR4,26,20200.0,18000.0,256.98,1414.8148148148148,5.484203484048432,4
Corsair CMD16GX4M2K4133C19 8GB,DDR4,19,19900.0,18000.0,168.495,1895.0,11.180270804448508,4
V-Color Technology Inc. TL8G36818C-E0P2AAS 8GB,DDR4,19,19800.0,18000.0,168.495,1890.0,11.150771409186111,4
G Skill Intl F4-4000C18-8GTRS 8GB,DDR4,29,17600.0,18000.0,168.495,1186.6666666666667,7.00118980894225,4
G Skill Intl F4-3600C16-8GTZN 8GB,DDR4,24,21300.0,17900.0,168.495,1568.0,9.251010354287736,4
Crucial Technology BLM16G44C19U4B.M8FB1 16GB,DDR4,29,20300.0,17900.0,168.495,1273.3333333333333,7.512512660157133,4
Corsair CMT32GX4M4C3466C16 8GB,DDR4,19,20200.0,17900.0,168.495,1905.0,11.239269594973303,4
G Skill Intl F4-4000C19-16GTZR 16GB,DDR4,26,18800.0,17900.0,168.495,1359.2592592592594,8.019465230592402,4
Corsair CMK16GX4M2F4400C19 8GB,DDR4,16,21700.0,17800.0,168.495,2323.529411764706,13.708542504290426,4
G Skill Intl F4-4133C19-8GTZKKF 8GB,DDR4,30,21400.0,17800.0,168.495,1264.516129032258,7.460492221199788,4
Corsair CMWX8GD3600C18W4 8GB,DDR4,19,20400.0,17800.0,168.495,1910.0,11.2687689902357,4
G Skill Intl F4-4266C19-4GTZ 4GB,DDR4,18,20300.0,17800.0,168.495,2005.2631578947369,11.830810099971897,4
G Skill Intl F4-4000C16-16GTZR 16GB,DDR4,24,20300.0,17800.0,168.495,1524.0,8.991415675978642,4
Corsair CMK16GX4M2B3733C17 8GB,DDR4,21,19900.0,17800.0,199.99,1713.6363636363637,8.5259782259633,4
G Skill Intl F4-3600C19-8GVSB 8GB,DDR4,31,19200.0,17800.0,168.495,1156.25,6.821735154429334,4
Thermaltake Technology Co Ltd R009D408GX2-4600C19A 8GB,DDR4,27,18700.0,17800.0,309.0,1303.5714285714287,4.2050691244239635,4
A-DATA Technology DDR4 4133 2OZ 8GB,DDR4,23,18500.0,17800.0,168.495,1512.5,8.92356706687513,4
Corsair CMT64GX4M2C3600C18 32GB,DDR4,28,18300.0,17800.0,168.495,1244.8275862068965,7.3443321998105935,4
Crucial Technology BLE4G4D32AEEA.K8FE 4GB,DDR4,26,22900.0,17700.0,144.21,1503.7037037037037,10.35537293370776,4
Corsair CMK16GX4M2F4500C19 8GB,DDR4,16,22200.0,17700.0,898.15,2347.0588235294117,2.610308428548531,4
G Skill Intl F4-3600C17-8GTZSW 8GB,DDR4,17,21600.0,17700.0,168.495,2183.3333333333335,12.88140259791341,4
Corsair CMD8GX4M2B3866C18 4GB,DDR4,18,21200.0,17700.0,257.22,2047.3684210526317,7.928775544313498,4
G Skill Intl F4-3600C16-16GTZN 16GB,DDR4,29,21200.0,17700.0,168.495,1296.6666666666667,7.650176504714987,4
G Skill Intl F4-3600C17-4GTZ 4GB,DDR4,22,21000.0,17700.0,168.495,1682.608695652174,9.927187796997988,4
G Skill Intl F4-3600C16-32GVK 32GB,DDR4,28,20700.0,17700.0,168.495,1324.1379310344828,7.812253641903789,4
G Skill Intl F4-3600C16-8GVK 8GB,DDR4,25,19900.0,17700.0,168.495,1446.1538461538462,8.532132783585629,4
Corsair CMK64GX4M2Z4000C18 32GB,DDR4,29,19800.0,17700.0,168.495,1250.0,7.37484881559928,4
Patriot Memory (PDP Systems) 4400 C19 Series 8GB,DDR4,26,19600.0,17700.0,168.495,1381.4814814814815,8.150573653980834,4
G Skill Intl F4-3600C16-8GTRG 8GB,DDR4,23,19400.0,17700.0,168.495,1545.8333333333333,9.120229701957776,4
Team Group Inc. TEAMGROUP-UD4-4133 8GB,DDR4,28,18800.0,17700.0,168.495,1258.6206896551723,7.425709841913758,4
G Skill Intl F4-3600C17-16GTZSW 16GB,DDR4,27,18300.0,17700.0,168.495,1285.7142857142858,7.58555878175926,4
G Skill Intl F4-4000C14-16GTZR 16GB,DDR4,29,22400.0,17600.0,168.495,1333.3333333333333,7.866505403305898,4
G Skill Intl F4-3200C14-32GTZR 32GB,DDR4,31,22200.0,17600.0,168.495,1243.75,7.337974571521284,4
G Skill Intl F4-3733C17-8GTZSW 8GB,DDR4,21,21400.0,17600.0,168.495,1772.7272727272727,10.458876502122616,4
Corsair CMK16GX4M2C3333C16 8GB,DDR4,23,21300.0,17600.0,93.99,1620.8333333333333,17.063199635049305,4
Zotac Technology Ltd OD48G32S816-ZHC 8GB,DDR4,19,20900.0,17600.0,168.495,1925.0,11.35726717602289,4
Corsair CMK32GX4M4B4000C19 8GB,DDR4,24,19900.0,17600.0,168.495,1500.0,8.849818578719136,4
Crucial Technology BLE8G4D36BEEAK.M8FE1 8GB,DDR4,23,19600.0,17600.0,118.03,1550.0,13.021927245232295,4
G Skill Intl F4-4266C19-8GTRS 8GB,DDR4,23,19600.0,17600.0,168.495,1550.0,9.144812531343106,4
Corsair CMK16GX4M2K4400C19 8GB,DDR4,23,19400.0,17600.0,692.66,1541.6666666666667,2.2225105479149248,4
V-Color Technology Inc. TA48G36S818BNK 8GB,DDR4,24,19000.0,17600.0,168.495,1464.0,8.637422932829876,4
Team Group Inc. TEAMGROUP-UD4-3866 8GB,DDR4,26,17800.0,17600.0,168.495,1311.111111111111,7.735396979917467,4
Corsair CMK16GX4M2C3200C16 8GB,DDR4,20,21000.0,17500.0,168.495,1833.3333333333333,10.81644492954561,4
G Skill Intl F4-3600C16-8GTZKW 8GB,DDR4,22,20800.0,17500.0,168.495,1665.2173913043478,9.824581204780953,4
Crucial Technology BL16G32C16U4WL.M16FE 16GB,DDR4,29,20600.0,17500.0,168.495,1270.0,7.4928463966488685,4
Hyundai Inc AR36C18S8K2HU416R 8GB,DDR4,19,20000.0,17500.0,168.495,1875.0,11.06227322339892,4
G Skill Intl F4-3600C15-8GTZ 8GB,DDR4,25,19700.0,17500.0,168.495,1430.7692307692307,8.441365413547484,4
Thermaltake Technology Co Ltd R022R432GX2-3600C18A 32GB,DDR4,31,19700.0,17500.0,649.0,1162.5,1.7884615384615385,4
Corsair CMH16GX4M2Z3600C18 8GB,DDR4,28,21700.0,17400.0,125.98,1348.2758620689656,10.618017499361834,4
G Skill Intl F4-4000C16-16GVK 16GB,DDR4,27,21000.0,17400.0,168.495,1371.4285714285713,8.09126270054321,4
G Skill Intl F4-4000C16-16GTZRA 16GB,DDR4,28,20900.0,17400.0,168.495,1320.6896551724137,7.791909231377997,4
Corsair CMW32GX4M2C3333C16 16GB,DDR4,23,20400.0,17400.0,168.495,1575.0,9.292309507655093,4
Kingston KHX4800C19D4/8GX 8GB,DDR4,25,18200.0,17400.0,168.495,1369.2307692307693,8.078295933394903,4
Gold Key Technology Co Ltd NMGD416E82-4400G 16GB,DDR4,27,17600.0,17400.0,168.495,1250.0,7.37484881559928,4
Apacer Technology 78.CAGN4.4020B 8GB,DDR4,17,21700.0,17300.0,168.495,2166.6666666666665,12.783071280372084,4
G Skill Intl F4-4800C18-8GTRS 8GB,DDR4,29,21300.0,17300.0,168.495,1286.6666666666667,7.591177714190192,4
Corsair CMK16GX4M2D3600C16 8GB,DDR4,27,20400.0,17300.0,168.495,1346.4285714285713,7.943765724231224,4
G Skill Intl F4-3200C14-16GTRS 16GB,DDR4,24,20300.0,17300.0,168.495,1504.0,8.873418094929054,4
Gold Key Technology Co Ltd NMUD416E82-4400G 16GB,DDR4,28,20300.0,17300.0,168.495,1296.551724137931,7.64949835769746,4
G Skill Intl F4-3600C14-8GTZNB 8GB,DDR4,22,19600.0,17300.0,168.495,1604.3478260869565,9.465458132021336,4
G Skill Intl F4-4600C18-8GTZR 8GB,DDR4,22,19300.0,17300.0,168.495,1591.304347826087,9.388503187858563,4
Corsair CMWB8G1L3200K16W4 8GB,DDR4,26,18900.0,17300.0,168.495,1340.7407407407406,7.910208211102042,4
Chun Well Technology Holding Limited MD4U0840180BCW 8GB,DDR4,26,18200.0,17300.0,168.495,1314.8148148148148,7.757248383815539,4
Corsair CMW16GX4M2D3600C16 8GB,DDR4,30,22300.0,17200.0,168.495,1274.1935483870968,7.51758782493346,4
Apacer Technology 78.CAGNK.4040B 8GB,DDR4,17,22100.0,17200.0,168.495,2183.3333333333335,12.88140259791341,4
Corsair CMK16GX4M2Z3600C14 8GB,DDR4,25,22000.0,17200.0,168.495,1507.6923076923076,8.895202263738208,4
Corsair CMT32GX4M4K3600C16 8GB,DDR4,26,21500.0,17200.0,529.99,1433.3333333333333,2.6993603143813125,4
Corsair CMK32GX4M2D3600C16 16GB,DDR4,28,21400.0,17200.0,168.495,1331.0344827586207,7.8529424629553715,4
Crucial Technology BL32G36C16U4B.M16FB1 32GB,DDR4,29,21400.0,17200.0,168.495,1286.6666666666667,7.591177714190192,4
G Skill Intl F4-4600C19-8GTZKKC 8GB,DDR4,17,21200.0,17200.0,168.495,2133.3333333333335,12.586408645289438,4
G Skill Intl F4-3333C16-8GTZ 8GB,DDR4,23,21200.0,17200.0,168.495,1600.0,9.439806483967079,4
Shanghai Kuxin Microelectronics Ltd NMUD416E82-3600 16GB,DDR4,18,20400.0,17200.0,168.495,1978.9473684210527,11.67555012490665,4
V-Color Technology Inc. TL8G36818C-I2PSAAS 8GB,DDR4,19,20400.0,17200.0,168.495,1880.0,11.091772618661317,4
Corsair CMT64GX4M4C3466C16 16GB,DDR4,25,20200.0,17200.0,168.495,1438.4615384615386,8.486749098566557,4
G Skill Intl F4-3600C16-8GTZNC 8GB,DDR4,26,19700.0,17200.0,168.495,1366.6666666666667,8.063168038388547,4
G Skill Intl F4-4000C18-8GTRG 8GB,DDR4,29,19600.0,17200.0,168.495,1226.6666666666667,7.237184971041427,4
Kingston KHX4000C19D4/8GX 8GB,DDR4,26,19300.0,17200.0,168.495,1351.851851851852,7.975762422796259,4
G Skill Intl F4-4000C16-16GTRS 16GB,DDR4,25,18700.0,17200.0,168.495,1380.7692307692307,8.146371460923513,4
G Skill Intl F4-4133C19-8GTZSWF 8GB,DDR4,24,18500.0,17200.0,168.495,1428.0,8.425027286940617,4
Mushkin MLA4C400JNNM16G 16GB,DDR4,23,18400.0,17200.0,168.495,1483.3333333333333,8.751487261177813,4
Corsair CMW16GX4M2Z4000C18 8GB,DDR4,33,18400.0,17200.0,168.495,1047.0588235294117,6.177520419654926,4
G Skill Intl F4-4000C16-8GTZR 8GB,DDR4,26,18200.0,17200.0,168.495,1311.111111111111,7.735396979917467,4
G Skill Intl F4-4400C19-32GTRS 32GB,DDR4,27,17700.0,17200.0,168.495,1246.4285714285713,7.353777818983281,4
Corsair CMD32GX4M4B3466C16 8GB,DDR4,22,15700.0,17200.0,644.5,1430.4347826086957,2.216010507527027,4
Crucial Technology CT16G4DFRA32A.M16FJ1 16GB,DDR4,30,22200.0,17100.0,168.495,1267.741935483871,7.4795240891110115,4
"PNY Technologies, Inc. 8GBF1X08RHJJ40-135-K 8GB",DDR4,28,20900.0,17100.0,168.495,1310.344827586207,7.730875999800625,4
G Skill Intl F4-3333C16-16GTZB 16GB,DDR4,19,20800.0,17100.0,168.495,1895.0,11.180270804448508,4
G Skill Intl F4-3333C16-8GTZSK 8GB,DDR4,20,20000.0,17100.0,168.495,1766.6666666666667,10.423119659380315,4
Crucial Technology BLE8G4D30AEEA.K16FE 8GB,DDR4,25,20000.0,17100.0,49.99,1426.923076923077,27.984370992804017,4
Corsair CMW32GX4M4D3600C16 8GB,DDR4,26,19900.0,17100.0,168.495,1370.3703703703704,8.085019442286619,4
Corsair CMW32GX4M4K4000C19 8GB,DDR4,29,19900.0,17100.0,755.99,1233.3333333333333,1.6292597436337775,4
Patriot Memory (PDP Systems) 4000 C19 Series 8GB,DDR4,26,19700.0,17100.0,168.495,1362.962962962963,8.041316634490475,4
G Skill Intl F4-4400C18-8GTRG 8GB,DDR4,24,19000.0,17100.0,168.495,1444.0,8.519425351780288,4
G Skill Intl F4-3200C14-16GTZSK 16GB,DDR4,26,19000.0,17100.0,168.495,1337.037037037037,7.88835680720397,4
G Skill Intl F4-3600C14-8GTRSB 8GB,DDR4,31,17700.0,17100.0,168.495,1087.5,6.416118469571374,4
